timestamp,node_id,short_name,long_name,node_latitude,node_longitude,node_altitude,rssi,snr,hw_model,our_latitude,our_longitude,our_altitude
2025-10-24T13:20:50.726063,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631,42.3895,-71.2028,91.0
2025-10-24T13:21:04.127434,!ba6ca858,DDM,DDM T-Deck +,42.3887,-71.2245,55,,-14,T_DECK,42.3895,-71.2028,91.0
2025-10-24T13:21:04.127562,!d80df984,f984,Meshtastic f984,42.3887,-71.1721,53,,-17,SEEED_WIO_TRACKER_L1,42.3895,-71.2028,91.0
2025-10-24T13:21:04.127615,!433e3a5c,ASSM,BadAssam,42.3523,-71.0671,,,-13,HELTEC_V3,42.3895,-71.2028,91.0
2025-10-24T13:21:04.127659,!a2eb5300,JETw,juliatuttle work,,,,,-18,STATION_G2,42.3895,-71.2028,91.0
2025-10-24T13:21:04.127701,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631,42.3895,-71.2028,91.0
2025-10-24T13:21:17.728893,!ba6ca858,DDM,DDM T-Deck +,42.3887,-71.2245,55,,-14,T_DECK,42.3896,-71.2028,71.0
2025-10-24T13:21:17.729017,!d80df984,f984,Meshtastic f984,42.3887,-71.1721,53,,-17,SEEED_WIO_TRACKER_L1,42.3896,-71.2028,71.0
2025-10-24T13:21:17.729094,!433e3a5c,ASSM,BadAssam,42.3523,-71.0671,,,-13,HELTEC_V3,42.3896,-71.2028,71.0
2025-10-24T13:21:17.729153,!a2eb5300,JETw,juliatuttle work,,,,,-18,STATION_G2,42.3896,-71.2028,71.0
2025-10-24T13:21:17.729216,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631,42.3896,-71.2028,71.0
2025-10-24T13:21:31.022574,!ba6ca858,DDM,DDM T-Deck +,42.3887,-71.2245,55,,-14,T_DECK,42.3896,-71.2028,71.0
2025-10-24T13:21:31.022689,!d80df984,f984,Meshtastic f984,42.3887,-71.1721,53,,-17,SEEED_WIO_TRACKER_L1,42.3896,-71.2028,71.0
2025-10-24T13:21:31.022762,!433e3a5c,ASSM,BadAssam,42.3523,-71.0671,,,-13,HELTEC_V3,42.3896,-71.2028,71.0
2025-10-24T13:21:31.022811,!a2eb5300,JETw,juliatuttle work,,,,,-18,STATION_G2,42.3896,-71.2028,71.0
2025-10-24T13:21:31.022854,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631,42.3896,-71.2028,71.0
2025-10-24T13:21:44.414923,!ba6ca858,DDM,DDM T-Deck +,42.3887,-71.2245,55,,-14,T_DECK,42.3896,-71.2028,62.0
2025-10-24T13:21:44.415107,!d80df984,f984,Meshtastic f984,42.3887,-71.1721,53,,-17,SEEED_WIO_TRACKER_L1,42.3896,-71.2028,62.0
2025-10-24T13:21:44.415202,!433e3a5c,ASSM,BadAssam,42.3523,-71.0671,,,-13,HELTEC_V3,42.3896,-71.2028,62.0
2025-10-24T13:21:44.415271,!a2eb5300,JETw,juliatuttle work,,,,,-18,STATION_G2,42.3896,-71.2028,62.0
2025-10-24T13:21:44.415326,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631,42.3896,-71.2028,62.0
2025-10-24T13:21:57.625926,!ba6ca858,DDM,DDM T-Deck +,42.3887,-71.2245,55,,-14,T_DECK,42.3896,-71.2028,62.0
2025-10-24T13:21:57.626044,!d80df984,f984,Meshtastic f984,42.3887,-71.1721,53,,-17,SEEED_WIO_TRACKER_L1,42.3896,-71.2028,62.0
2025-10-24T13:21:57.626100,!433e3a5c,ASSM,BadAssam,42.3523,-71.0671,,,-13,HELTEC_V3,42.3896,-71.2028,62.0
2025-10-24T13:21:57.626148,!a2eb5300,JETw,juliatuttle work,,,,,-18,STATION_G2,42.3896,-71.2028,62.0
2025-10-24T13:21:57.626190,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631,42.3896,-71.2028,62.0
2025-10-24T13:22:10.803201,!ba6ca858,DDM,DDM T-Deck +,42.3887,-71.2245,55,,-14,T_DECK,42.3894,-71.2028,82.0
2025-10-24T13:22:10.803317,!d80df984,f984,Meshtastic f984,42.3887,-71.1721,53,,-17,SEEED_WIO_TRACKER_L1,42.3894,-71.2028,82.0
2025-10-24T13:22:10.803373,!433e3a5c,ASSM,BadAssam,42.3523,-71.0671,,,-13,HELTEC_V3,42.3894,-71.2028,82.0
2025-10-24T13:22:10.803420,!a2eb5300,JETw,juliatuttle work,,,,,-18,STATION_G2,42.3894,-71.2028,82.0
2025-10-24T13:22:10.803465,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631,42.3894,-71.2028,82.0
2025-10-24T13:22:23.567594,!ba6ca858,DDM,DDM T-Deck +,42.3887,-71.2245,55,,-14,T_DECK,42.3894,-71.2028,82.0
2025-10-24T13:22:23.567707,!d80df984,f984,Meshtastic f984,42.3887,-71.1721,53,,-17,SEEED_WIO_TRACKER_L1,42.3894,-71.2028,82.0
2025-10-24T13:22:23.567772,!433e3a5c,ASSM,BadAssam,42.3523,-71.0671,,,-13,HELTEC_V3,42.3894,-71.2028,82.0
2025-10-24T13:22:23.567821,!a2eb5300,JETw,juliatuttle work,,,,,-18,STATION_G2,42.3894,-71.2028,82.0
2025-10-24T13:22:23.567866,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631,42.3894,-71.2028,82.0
2025-10-24T13:22:36.782102,!ba6ca858,DDM,DDM T-Deck +,42.3887,-71.2245,55,,-14,T_DECK,42.3894,-71.2028,82.0
2025-10-24T13:22:36.782227,!d80df984,f984,Meshtastic f984,42.3887,-71.1721,53,,-17,SEEED_WIO_TRACKER_L1,42.3894,-71.2028,82.0
2025-10-24T13:22:36.782282,!433e3a5c,ASSM,BadAssam,42.3523,-71.0671,,,-13,HELTEC_V3,42.3894,-71.2028,82.0
2025-10-24T13:22:36.782330,!a2eb5300,JETw,juliatuttle work,,,,,-18,STATION_G2,42.3894,-71.2028,82.0
2025-10-24T13:22:36.782387,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631,42.3894,-71.2028,82.0
2025-10-24T13:22:49.948081,!ba6ca858,DDM,DDM T-Deck +,42.3887,-71.2245,55,,-14,T_DECK,42.3895,-71.2027,82.0
2025-10-24T13:22:49.948195,!d80df984,f984,Meshtastic f984,42.3887,-71.1721,53,,-17,SEEED_WIO_TRACKER_L1,42.3895,-71.2027,82.0
